Email,FirstName,BusinessName,City,Trade,PricingLink
"info@cpcooper.co.uk","C","C P Cooper Plumbing & Heating Ltd","King's Lynn","plumber","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=plumber&city=King's%20Lynn&ref=00000000-0000-4000-a000-0000002ef34e"
"info@pentlandservices.co.uk","Pentland","Pentland Services UK Ltd","Edinburgh","hvac","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=hvac&city=Edinburgh&ref=00000000-0000-4000-a000-000000540392"
"progasheating@hotmail.co.uk","Progas","Progas Heating Services","St Austell","gas-engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=gas-engineer&city=St%20Austell&ref=00000000-0000-4000-a000-000000d291d2"
"info@dslheating.co.uk","D","D S L Heating","Barrow-in-Furness","gas-engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=gas-engineer&city=Barrow-in-Furness&ref=00000000-0000-4000-a000-0000012fd0ce"
"merseadrains@icloud.com","Mersea","Mersea Drains","Clacton-on-Sea","drain-specialist","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=drain-specialist&city=Clacton-on-Sea&ref=00000000-0000-4000-a000-000001e75dd8"
"info@whiteknightshomeimprovements.com","White","White Knights Home Improvements Ltd","Royal Tunbridge Wells","roofer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=roofer&city=Royal%20Tunbridge%20Wells&ref=00000000-0000-4000-a000-000001f3eea1"
"sales@climatecooling.com","Climate","Climate Cooling","Wells","hvac","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=hvac&city=Wells&ref=00000000-0000-4000-a000-000002648727"
"enquiries@steronlocksmiths.co.uk","Steron","Steron Locksmiths","Hartlepool","locksmith","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=locksmith&city=Hartlepool&ref=00000000-0000-4000-a000-000019c633d8"
"sales@nottinghamglass.co.uk","Professional","Professional Glaziers Nottingham","Nottingham","glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=glazier&city=Nottingham&ref=2a68def8-8f08-36be-9b4f-b9441153ff8c"
"enquiries@hydro-cleansing.com","Hydro","Hydro Cleansing Ltd","London","water-restoration","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=water-restoration&city=London&ref=5944dc50-6cc2-4a1d-957b-27c402772f1e"
"plumbplan@hotmail.co.uk","Plumbplan","Plumbplan","Staines","plumber","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=plumber&city=Staines&ref=00000000-0000-4000-a000-0000018799b2"
"info@anytimelocksmiths.co.uk","Anytime","Anytime Locksmiths Surrey","Staines","locksmith","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=locksmith&city=Staines&ref=00000000-0000-4000-a000-0000230234a7"
"info@wolverhamptonglazier.co.uk","24/7","24/7 Glazier Wolverhampton","Wolverhampton","glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=glazier&city=Wolverhampton&ref=1b03aa2c-9e55-3a74-9ee4-7a6ec3f233f7"
"sales@gillsplumbing.co.uk","P","P C Gills & Son Property Ltd","Welwyn Garden City","plumber","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=plumber&city=Welwyn%20Garden%20City&ref=00000000-0000-4000-a000-00003e81b715"
"info@nileakdetection.co.uk","NI","NI Leak Detection Castlereagh","Belfast","water-restoration","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=water-restoration&city=Belfast&ref=2355af92-bb85-4bca-b346-b08a4e866b39"
"info@stay-safe-locksmith.co.uk","Stay","Stay Safe","Welwyn Garden City","locksmith","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=locksmith&city=Welwyn%20Garden%20City&ref=00000000-0000-4000-a000-00007523ede7"
"info@capita.co.uk","Capita","Capita Property & Infrastructure Ltd","St Helens","gas-engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=gas-engineer&city=St%20Helens&ref=00000000-0000-4000-a000-00006de0c6b2"
"info@norwichheatingservices.co.uk","Norwich","Norwich Heating Services","Norwich","Gas Engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=Gas%20Engineer&city=Norwich&ref=462c8d15-46c7-36c3-9e69-9fe903363a71"
"contact@a1-roofing-huddersfield.co.uk","A1","A1 Roofing Huddersfield 24HR","Huddersfield","roofer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=roofer&city=Huddersfield&ref=9c212fd9-f0fe-4fab-a0fd-8ade642bb371"
"enquiries@lordroofing.co.uk","LORD","LORD Roofing Middlesbrough Support","Middlesbrough","roofer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=roofer&city=Middlesbrough&ref=55bd6315-11f7-4b65-bc63-7eb54a0b60fe"
"enquiries@icecleaning.co.uk","ICE","ICE Cleaning Leicester","Leicester","water-restoration","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=water-restoration&city=Leicester&ref=da3e4884-9993-45e5-a79e-6bb515a54bee"
"info@mharrisonroofing.com","M","M Harrison Roofing Middlesbrough Specialists","Middlesbrough","roofer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=roofer&city=Middlesbrough&ref=12f1a799-7fad-460f-8d91-2856ec46a542"
"info@supremeroofingnorthwest.co.uk","Supreme","Supreme Roofing Northwest Blackpool experts","Blackpool","roofer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=roofer&city=Blackpool&ref=f303a44f-8411-4906-9901-7b82d8d69a25"
"info@keyaccesslocksmiths.com","Key","Key Access Locksmiths","Sale","locksmith","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=locksmith&city=Sale&ref=00000000-0000-4000-a000-00002b245d5c"
"contact@kleki.com","Keki","Keki Clearway","Wembley","drain-specialist","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=drain-specialist&city=Wembley&ref=00000000-0000-4000-a000-000078f19580"
"ajackglassandglazing@gmail.com","A.","A. Jack Glaziers","Edinburgh","Glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=Glazier&city=Edinburgh&ref=97f6c428-a50a-31ee-b281-c727d851cb7b"
"info@rheams.co.uk","Rheams","Rheams Plumbing & Heating Ltd","Leamington Spa","gas-engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=gas-engineer&city=Leamington%20Spa&ref=00000000-0000-4000-a000-0000115b33e8"
"info@247emergencyplumberedinburgh.com","247","247 Emergency Plumber in Edinburgh Support","Edinburgh","plumber","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=plumber&city=Edinburgh&ref=cf68cda1-a482-4149-b871-cda623dd5ba9"
"info@pottslocksmiths.co.uk","Potts","Potts Locksmiths","Darlington","locksmith","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_5_manual&utm_medium=email&trade=locksmith&city=Darlington&ref=00000000-0000-4000-a000-00001c299804"
