Email,FirstName,BusinessName,City,Trade,PricingLink
"info@lichfieldwindowrepair.co.uk","Lichfield","Lichfield Glass Specialists","lichfield","glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=glazier&city=lichfield&ref=36873002-653b-3465-b467-fdb5385a660e"
"info@lichfieldglass.co.uk","Professional","Professional Glaziers Lichfield","lichfield","glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=glazier&city=lichfield&ref=8378d816-05a1-3466-b49b-5b700e282767"
"info@lichfielddrainage.co.uk","Rapid","Rapid Drain Services Lichfield","lichfield","drain-specialist","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=drain-specialist&city=lichfield&ref=2b638bb2-ae6e-3438-bef3-2dd2715230f4"
"info@lincolngasengineer.co.uk","Emergency","Emergency Gas Engineer Lincoln","Lincoln","gas-engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=gas-engineer&city=Lincoln&ref=0684c3ce-2248-3284-a146-e7f1927f93e7"
"info@lincolnglass.co.uk","Lincoln","Lincoln Glazing Services","Lincoln","glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=glazier&city=Lincoln&ref=8084f98b-b583-3db8-bec5-9fa96724c418"
"info@lincolngasservices.co.uk","Lincoln","Lincoln Gas Specialists","Lincoln","gas-engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=gas-engineer&city=Lincoln&ref=eecf17f8-39b2-3368-93cf-b88d68e55dd1"
"info@lincolnglazier.co.uk","24/7","24/7 Glazier Lincoln","Lincoln","glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=glazier&city=Lincoln&ref=d92d8bb9-7282-39f8-a299-85870d402bf3"
"info@lincolnglass.co.uk","Professional","Professional Glaziers Lincoln","Lincoln","glazier","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=glazier&city=Lincoln&ref=caf41e4e-04a1-3adb-bde8-097a18920c81"
"info@lincolndrainage.co.uk","Rapid","Rapid Drain Services Lincoln","Lincoln","drain-specialist","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=drain-specialist&city=Lincoln&ref=d8eff1f9-0d36-3dc8-a54c-399b0aa34d6b"
"info@newcastle-upon-tynegasservices.co.uk","Newcastle-upon-Tyne","Newcastle-upon-Tyne Gas Specialists","Newcastle-upon-Tyne","gas-engineer","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=gas-engineer&city=Newcastle-upon-Tyne&ref=d07af413-e94b-38f6-bc14-d0ea0a1f84a9"
"contact@nottinghamlocks.co.uk","Professional","Professional Locksmiths Nottingham","Nottingham","locksmith","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_3_manual&utm_medium=email&trade=locksmith&city=Nottingham&ref=223912cc-9b7f-3913-8dd3-a997196d8002"
